[s]	o	p
gcmin:quartz	gcmin:crystalsystem	hexagonal
gcmin:quartz	gcmin:statusnotes	"Mineral name and variations have been known since antiquity and predate any formal descriptive publication. For instance: Agricola G (1546) Book V. Quartz, in De Natura Fossilium, Froben (Basileae) 249-275"
gcmin:quartz	gcmin:imastatus	Approved
gcmin:quartz	skos:broader	strunz:s04_DA
gcmin:quartz	gcmin:localitycount	74237
gcmin:quartz	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/quartz.pdf
gcmin:quartz	skos:exactMatch	<http://www.wikidata.org/entity/Q43010>
gcmin:quartz	skos:exactMatch	<https://www.mindat.org/1:1:3337:0>
gcmin:quartz	gcmin:strunzcodeV10	04.DA.05
gcmin:quartz	gcmin:chemistryelements	Si | O
gcmin:quartz	gcmin:mindatid	min-3337
gcmin:quartz	gcmin:structuralgroup	Quartz
gcmin:quartz	gcmin:iupacchemname	IUPAC: Silicon dioxide
gcmin:quartz	gcmin:webmineralurl	http://www.webmineral.com/data/Quartz.shtml
gcmin:quartz	gcmin:rruffnameplain	Quartz
gcmin:quartz	gcmin:rruffchemistry	SiO<sub>2</sub>
gcmin:quartz	rdfs:label	Quartz
gcmin:quartz	gcmin:rruffnamehtml	Quartz
gcmin:quartz	skos:exactMatch	gsqmin:quartz
gcmin:realgar	gcmin:rruffchemistry	AsS
gcmin:realgar	gcmin:webmineralurl	http://www.webmineral.com/data/Realgar.shtml
gcmin:realgar	gcmin:chemistryelements	As | S
gcmin:realgar	gcmin:localitycount	873
gcmin:realgar	gcmin:wikipediadate	1747
gcmin:realgar	gcmin:rruffnameplain	Realgar
gcmin:realgar	gcmin:mindatid	min-3375
gcmin:realgar	skos:broader	strunz:s02_FA
gcmin:realgar	gcmin:mindaturl	http://www.mindat.org/min-3375.html
gcmin:realgar	gcmin:rruffnamehtml	Realgar
gcmin:realgar	skos:exactMatch	gsqmin:realgar
gcmin:realgar	skos:prefLabel	Realgar
gcmin:realgar	gcmin:imastatus	Grandfathered|Approved
gcmin:realgar	gcmin:imachemistry	AsS
gcmin:realgar	skos:exactMatch	<https://www.mindat.org/1:1:3375:2>
gcmin:realgar	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/realgar.pdf
gcmin:realgar	rdf:type	skos:Concept
gcmin:realgar	skos:inScheme	gcmin:conceptScheme
gcmin:realgar	gcmin:strunzcodeV10	02.FA.15a
gcmin:realgar	gcmin:iupacchemname	IUPAC: Arsenic sulfide
gcmin:realgar	skos:exactMatch	<http://www.wikidata.org/entity/Q109746>
gcmin:realgar	gcmin:crystalsystem	monoclinic
gcmin:realgar	gcmin:strunzlabel	"Other sulfide with As, (Sb), S"
gcmin:realgar	gcmin:rruffids	R060106 | R060107 | R100026
gcmin:realgar	rdfs:label	Realgar
gcmin:rhodochrosite	rdfs:label	Rhodochrosite
gcmin:rhodochrosite	skos:exactMatch	<https://www.mindat.org/1:1:3406:3>
gcmin:rhodochrosite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/rhodochrosite.pdf
gcmin:rhodochrosite	gcmin:mindaturl	http://www.mindat.org/min-3406.html
gcmin:rhodochrosite	gcmin:strunzcodeV10	05.AB.05
gcmin:rhodochrosite	gcmin:rruffnameplain	Rhodochrosite
gcmin:rhodochrosite	gcmin:imachemistry	Mn(CO<sub>3</sub>)
gcmin:rhodochrosite	gcmin:iupacchemname	IUPAC: Manganese carbonate
gcmin:rhodochrosite	gcmin:statusnotes	"Hausmann J F L (1813) Rhodochrosit, in Handbuch der Mineralogie, Volume 3, (G÷ttingen) 1081-1082"
gcmin:rhodochrosite	gcmin:mindatid	min-3406
gcmin:rhodochrosite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29161>
gcmin:rhodochrosite	gcmin:wikipediadate	1813
gcmin:rhodochrosite	rdf:type	skos:Concept
gcmin:rhodochrosite	gcmin:fleischersgroup	calcite
gcmin:rhodochrosite	gcmin:webmineralurl	http://www.webmineral.com/data/Rhodochrosite.shtml
gcmin:rhodochrosite	gcmin:structuralgroup	Calcite
gcmin:rhodochrosite	gcmin:crystalsystem	hexagonal
gcmin:rhodochrosite	gcmin:imastatus	Approved
gcmin:rhodochrosite	gcmin:rruffnamehtml	Rhodochrosite
gcmin:rhodochrosite	gcmin:strunzlabel	"Carbonate without additional anions, without H2O, Alkali-earth (and other M2+) carbonates"
gcmin:rhodochrosite	gcmin:chemistryelements	Mn | C | O
gcmin:rhodochrosite	skos:inScheme	gcmin:conceptScheme
gcmin:rhodochrosite	gcmin:localitycount	2123
gcmin:rhodochrosite	skos:exactMatch	<http://www.wikidata.org/entity/Q409793>
gcmin:rhodochrosite	gcmin:rruffids	R040133 | R050019 | R050116 | R100002 | R100162
gcmin:rhodochrosite	skos:prefLabel	Rhodochrosite
gcmin:rhodochrosite	skos:exactMatch	gsqmin:rhodochrosite
gcmin:rhodochrosite	gcmin:rruffchemistry	Mn<sup>2+</sup>CO<sub>3</sub>
gcmin:rhodonite	skos:exactMatch	<http://www.wikidata.org/entity/Q409071>
gcmin:rhodonite	gcmin:rruffchemistry	Mn<sup>2+</sup>SiO<sub>3</sub>
gcmin:rhodonite	rdfs:label	Rhodonite
gcmin:rhodonite	gcmin:crystalsystem	triclinic
gcmin:rhodonite	gcmin:mindatid	min-3407
gcmin:rhodonite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/rhodonite.pdf
gcmin:rhodonite	gcmin:mindaturl	http://www.mindat.org/min-3407.html
gcmin:rhodonite	gcmin:localitycount	1107
gcmin:rhodonite	gcmin:rruffids	R040041 | R060196 | R060363 | R060549 | R100038
gcmin:rhodonite	skos:exactMatch	gsqmin:rhodonite
gcmin:rhodonite	gcmin:chemistryelements	Mn | Si | O
gcmin:rhodonite	gcmin:strunzlabel	Inosilicate with 5-periodic single chains
gcmin:rhodonite	gcmin:imastatus	Approved
gcmin:rhodonite	rdf:type	skos:Concept
gcmin:rhodonite	skos:prefLabel	Rhodonite
gcmin:rhodonite	gcmin:rruffnameplain	Rhodonite
gcmin:rhodonite	gcmin:fleischersgroup	rhodonite
gcmin:rhodonite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/40297>
gcmin:rhodonite	gcmin:rruffnamehtml	Rhodonite
gcmin:rhodonite	gcmin:structuralgroup	Rhodonite
gcmin:rhodonite	gcmin:webmineralurl	http://www.webmineral.com/data/Rhodonite.shtml
gcmin:rhodonite	gcmin:imachemistry	Mn<sup>2+</sup>SiO<sub>3</sub>
gcmin:rhodonite	skos:exactMatch	<https://www.mindat.org/1:1:3407:0>
gcmin:rhodonite	gcmin:statusnotes	"Germar (1819) Ueber die kohlenstoff - und kieselsauren Manganerze des Unterharzes, Journal f?r Chemie und Physik 26, 108-120"
gcmin:rhodonite	gcmin:wikipediadate	1819
gcmin:rhodonite	skos:inScheme	gcmin:conceptScheme
gcmin:rhodonite	gcmin:strunzcodeV10	09.DK.05
gcmin:riebeckite	gcmin:structuralgroup	Amphibole
gcmin:riebeckite	gcmin:webmineralurl	http://www.webmineral.com/data/Riebeckite.shtml
gcmin:riebeckite	skos:exactMatch	<https://www.mindat.org/1:1:3418:6>
gcmin:riebeckite	gcmin:rruffids	R050082 | R060028 | R120033
gcmin:riebeckite	gcmin:mindatid	min-3418
gcmin:riebeckite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/riebeckite.pdf
gcmin:riebeckite	gcmin:strunzcodeV10	09.DE.25
gcmin:riebeckite	gcmin:mindaturl	http://www.mindat.org/min-3418.html
gcmin:riebeckite	gcmin:crystalsystem	monoclinic
gcmin:riebeckite	skos:inScheme	gcmin:conceptScheme
gcmin:riebeckite	gcmin:localitycount	683
gcmin:riebeckite	rdf:type	skos:Concept
gcmin:riebeckite	gcmin:rruffnamehtml	Riebeckite
gcmin:riebeckite	gcmin:statusnotes	"Sauer A (1888) Ueber Riebeckit, ein neues Glied der Hornblendegruppe, sowie ?ber Neubildung von Albit in granitischen Orthoklasen, Zeitschrift der Deutschen Geologischen Gesellschaft 40, 138-152 Redefined: Leake B E, Woolley A R, Arps C E S, Birch W D, Gilbert M C, Grice J D, Hawthorne F C, Kato A, Kisch H J, Krivovichev V G, Linthout K, Laird J, Mandarino J A, Maresch W V, Nickel E H, Rock N M S, Schumacher J C, Smith D C, Stephenson N C N, Ungaretti L, Whittaker E J W, Youzhi G (1997) Nomenclature of amphiboles: Report of the subcommittee on amphiboles of the International Mineralogical Association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 219-246"
gcmin:riebeckite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/8698>
gcmin:riebeckite	skos:exactMatch	<http://www.wikidata.org/entity/Q256865>
gcmin:riebeckite	gcmin:fleischersgroup	amphibole-group 4 Na
gcmin:riebeckite	gcmin:strunzlabel	"Inosilicate with 2-periodic double chains, Si4O11; Clinoamphiboles"
gcmin:riebeckite	skos:prefLabel	Riebeckite
gcmin:riebeckite	skos:exactMatch	gsqmin:riebeckite
gcmin:riebeckite	gcmin:rruffchemistry	"<span style=""border: 1px solid #333; font-size:7px;""> </span>Na<sub>2</sub>(Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>"
gcmin:riebeckite	gcmin:imachemistry	"<span style=""border: 1px solid #333; font-size:7px;""> </span>Na<sub>2</sub>(Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>"
gcmin:riebeckite	gcmin:chemistryelements	Na | Fe | Si | O | H
gcmin:riebeckite	gcmin:rruffnameplain	Riebeckite
gcmin:riebeckite	gcmin:imastatus	Approved|Redefined
gcmin:riebeckite	gcmin:wikipediadate	1888
gcmin:riebeckite	rdfs:label	Riebeckite
gcmin:rosasite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29327>
gcmin:rosasite	gcmin:rruffchemistry	Cu<sup>2+</sup>Zn<sup>2+</sup>CO<sub>3</sub>(OH)<sub>2</sub>
gcmin:rosasite	gcmin:iupacchemname	IUPAC: Copper zinc carbonate dihydroxyl
gcmin:rosasite	gcmin:chemistryelements	Cu | Zn | C | O | H
gcmin:rosasite	gcmin:webmineralurl	http://www.webmineral.com/data/Rosasite.shtml
gcmin:rosasite	skos:exactMatch	<http://www.wikidata.org/entity/Q422096>
gcmin:rosasite	skos:inScheme	gcmin:conceptScheme
gcmin:rosasite	gcmin:rruffnameplain	Rosasite
gcmin:rosasite	skos:exactMatch	gsqmin:rosasite
gcmin:rosasite	gcmin:strunzcodeV10	05.BA.10
gcmin:rosasite	gcmin:imastatus	Grandfathered|Approved
gcmin:rosasite	gcmin:rruffnamehtml	Rosasite
gcmin:rosasite	gcmin:crystalsystem	monoclinic
gcmin:rosasite	skos:prefLabel	Rosasite
gcmin:rosasite	gcmin:statusnotes	"Lovisato D (1908) Rosasite, nuovo minerale della miniera di Rosas (Sulcis, Sardegna), Atti della Reale Accademia dei Lincei 17, 723-728 Chemical formula changed from (Cu,Zn)_2_CO_3_(OH)_2_ because the Cu and Zn are found to order into distinct crystallographic sites: Perchiazzi N (2006) Crystal structure determination and Rietveld refinement of rosasite and mcguinnessite, Zeitschrift f?r Kristallographie Supplement 23, 505-510"
gcmin:rosasite	gcmin:mindatid	min-3447
gcmin:rosasite	gcmin:imachemistry	CuZn(CO<sub>3</sub>)(OH)<sub>2</sub>
gcmin:rosasite	gcmin:fleischersgroup	rosasite
gcmin:rosasite	skos:exactMatch	<https://www.mindat.org/1:1:3447:6>
gcmin:rosasite	gcmin:structuralgroup	Malachite
gcmin:rosasite	gcmin:strunzlabel	"Carbonate with additional anions, without H2O, With Cu, Co, Ni, Zn, Mg, Mn"
gcmin:rosasite	gcmin:mindaturl	http://www.mindat.org/min-3447.html
gcmin:rosasite	gcmin:localitycount	590
gcmin:rosasite	gcmin:wikipediadate	1908
gcmin:rosasite	rdfs:label	Rosasite
gcmin:rosasite	rdf:type	skos:Concept
gcmin:rosasite	gcmin:rruffids	R050294 | R100077 | R120007
gcmin:rosasite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/rosasite.pdf
gcmin:rutile	gcmin:localitycount	7259
gcmin:rutile	gcmin:chemistryelements	Ti | O
gcmin:rutile	gcmin:strunzlabel	"Oxide, Metal: Oxygen = 1:2 and similar, With medium-sized cations; chains of edge-sharing octahedra"
gcmin:rutile	gcmin:structuralgroup	Rutile
gcmin:rutile	skos:exactMatch	<https://www.mindat.org/1:1:3486:5>
gcmin:rutile	gcmin:rruffids	R040049 | R050031 | R050417 | R060493 | R060745 | R110109 | R120008
gcmin:rutile	gcmin:mindatid	min-3486
gcmin:rutile	gcmin:iupacchemname	IUPAC: TitaniumIV oxide
gcmin:rutile	gcmin:mindaturl	http://www.mindat.org/min-3486.html
gcmin:rutile	gcmin:strunzcodeV10	04.DB.05
gcmin:rutile	skos:broader	strunz:s04_DB
gcmin:rutile	gcmin:statusnotes	"Known previously, but named rutile by Werner: Lampadius W A (1800) Noch ein Paar Bemertungen ?ber den Uran- und Titangehalt einiger Fossilien. Der rothe sch÷rl (Rutil, nach herrn Bergrath Werner), in Sammlung practisch-chemischer Abhandlungen und vermischter Bemerkungen, Volume 3, Walther (Dresden)"
gcmin:rutile	gcmin:imastatus	Grandfathered|Approved
gcmin:rutile	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/rutile.pdf
gcmin:rutile	rdf:type	skos:Concept
gcmin:rutile	gcmin:crystalsystem	tetragonal
gcmin:rutile	skos:prefLabel	Rutile
gcmin:rutile	gcmin:fleischersgroup	rutile
gcmin:rutile	gcmin:wikipediadate	1800
gcmin:rutile	skos:exactMatch	<http://www.wikidata.org/entity/Q320603>
gcmin:rutile	rdfs:label	Rutile
gcmin:rutile	gcmin:rruffchemistry	Ti<sup>4+</sup>O<sub>2</sub>
gcmin:rutile	gcmin:rruffnamehtml	Rutile
gcmin:rutile	gcmin:imachemistry	TiO<sub>2</sub>
gcmin:rutile	gcmin:webmineralurl	http://www.webmineral.com/data/Rutile.shtml
gcmin:rutile	gcmin:rruffnameplain	Rutile
gcmin:rutile	skos:exactMatch	gsqmin:rutile
gcmin:rutile	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29330>
gcmin:rutile	skos:inScheme	gcmin:conceptScheme
gcmin:sanidine	gcmin:strunzcodeV10	09.FA.30
gcmin:sanidine	gcmin:rruffids	R060313
gcmin:sanidine	gcmin:wikipediadate	1808
gcmin:sanidine	gcmin:rruffnamehtml	Sanidine
gcmin:sanidine	skos:exactMatch	<https://www.mindat.org/1:1:3521:3>
gcmin:sanidine	gcmin:crystalsystem	monoclinic
gcmin:sanidine	gcmin:rruffnameplain	Sanidine
gcmin:sanidine	skos:exactMatch	<http://www.wikidata.org/entity/Q426723>
gcmin:sanidine	skos:inScheme	gcmin:conceptScheme
gcmin:sanidine	gcmin:structuralgroup	Feldspar
gcmin:sanidine	gcmin:imastatus	Grandfathered|Approved
gcmin:sanidine	gcmin:rruffchemistry	KAlSi<sub>3</sub>O<sub>8</sub>
gcmin:sanidine	gcmin:mindaturl	https://www.mindat.org/min-3521.html
gcmin:sanidine	gcmin:localitycount	987
gcmin:sanidine	gcmin:webmineralurl	http://www.webmineral.com/data/Sanidine.shtml
gcmin:sanidine	gcmin:fleischersgroup	feldspar
gcmin:sanidine	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/sanidine.pdf
gcmin:sanidine	gcmin:strunzlabel	Tektosilicate without additional non-tetrahedral anions
gcmin:sanidine	gcmin:mindatid	min-3521
gcmin:sanidine	skos:broader	<https://w3id.org/geochem/1.0/mingroup/9581>
gcmin:sanidine	rdf:type	skos:Concept
gcmin:sanidine	skos:prefLabel	Sanidine
gcmin:sanidine	skos:exactMatch	gsqmin:sanidine
gcmin:sanidine	gcmin:chemistryelements	K | Al | Si | O
gcmin:sanidine	rdfs:label	Sanidine
gcmin:sanidine	gcmin:statusnotes	"N÷ggerath J J (1808) Sanidin, in Mineralogische Studien ?ber die Gebirge am Niederrhein, Johann Christian Hermann (Frankfurt) 24-39"
gcmin:sanidine	gcmin:imachemistry	K(AlSi<sub>3</sub>O<sub>8</sub>)
gcmin:scheelite	gcmin:chemistryelements	Ca | W | O
gcmin:scheelite	gcmin:webmineralurl	http://www.webmineral.com/data/Scheelite.shtml
gcmin:scheelite	gcmin:imastatus	Grandfathered|Approved
gcmin:scheelite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/32622>
gcmin:scheelite	rdf:type	skos:Concept
gcmin:scheelite	rdfs:label	Scheelite
gcmin:scheelite	gcmin:mindatid	min-3560
gcmin:scheelite	skos:prefLabel	Scheelite
gcmin:scheelite	gcmin:rruffnameplain	Scheelite
gcmin:scheelite	gcmin:imachemistry	Ca(WO<sub>4</sub>)
gcmin:scheelite	gcmin:statusnotes	"von Leonhard K C (1821) Scheelit, in Handbuch der Oryktognosie, Mohr and Winter (Heidelberg, Germany) 594-596"
gcmin:scheelite	gcmin:fleischersgroup	scheelite
gcmin:scheelite	gcmin:strunzlabel	"Molybdate, Wolframate or Niobate, Without additional anions or H2O"
gcmin:scheelite	gcmin:iupacchemname	IUPAC: Calcium tungstate
gcmin:scheelite	skos:exactMatch	<https://www.mindat.org/1:1:3560:2>
gcmin:scheelite	gcmin:rruffnamehtml	Scheelite
gcmin:scheelite	gcmin:rruffids	R040172 | R040173 | R050543 | R060417 | R150130
gcmin:scheelite	skos:exactMatch	<http://www.wikidata.org/entity/Q409096>
gcmin:scheelite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/scheelite.pdf
gcmin:scheelite	gcmin:localitycount	5769
gcmin:scheelite	gcmin:wikipediadate	1821
gcmin:scheelite	gcmin:crystalsystem	tetragonal
gcmin:scheelite	skos:inScheme	gcmin:conceptScheme
gcmin:scheelite	gcmin:rruffchemistry	CaW<sup>6+</sup>O<sub>4</sub>
gcmin:scheelite	gcmin:structuralgroup	Scheelite
gcmin:scheelite	skos:exactMatch	gsqmin:scheelite
gcmin:scheelite	gcmin:strunzcodeV10	07.GA.05
gcmin:scheelite	gcmin:mindaturl	http://www.mindat.org/min-3560.html
gcmin:schorl	gcmin:rruffchemistry	NaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>OH
gcmin:schorl	gcmin:rruffnameplain	Schorl
gcmin:schorl	gcmin:mindatid	min-3578
gcmin:schorl	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/schorl.pdf
gcmin:schorl	skos:exactMatch	<http://www.wikidata.org/entity/Q2411340>
gcmin:schorl	rdf:type	skos:Concept
gcmin:schorl	skos:exactMatch	gsqmin:schorl
gcmin:schorl	gcmin:imastatus	Approved|Renamed
gcmin:schorl	rdfs:label	Schorl
gcmin:schorl	gcmin:imachemistry	NaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)
gcmin:schorl	gcmin:webmineralurl	http://www.webmineral.com/data/Schorl.shtml
gcmin:schorl	gcmin:strunzlabel	"Cyclosilicate: [Si6O18]12- 6-membered single rings, with insular complex anions"
gcmin:schorl	gcmin:localitycount	3291
gcmin:schorl	gcmin:wikipediadate	1505
gcmin:schorl	gcmin:fleischersgroup	tourmaline
gcmin:schorl	gcmin:rruffids	R050304
gcmin:schorl	skos:exactMatch	<https://www.mindat.org/1:1:3578:7>
gcmin:schorl	gcmin:crystalsystem	hexagonal
gcmin:schorl	gcmin:chemistryelements	Na | Fe | Al | Si | O | B | H
gcmin:schorl	gcmin:structuralgroup	Tourmaline
gcmin:schorl	gcmin:strunzcodeV10	09.CK.05
gcmin:schorl	skos:inScheme	gcmin:conceptScheme
gcmin:schorl	skos:prefLabel	Schorl
gcmin:schorl	gcmin:mindaturl	http://www.mindat.org/min-3578.html
gcmin:schorl	gcmin:rruffnamehtml	Schorl
gcmin:schorl	skos:broader	<https://w3id.org/geochem/1.0/mingroup/4003>
gcmin:scolecite	gcmin:mindatid	min-3594
gcmin:scolecite	gcmin:imachemistry	Ca(Si<sub>3</sub>Al<sub>2</sub>)O<sub>10</sub>?3H<sub>2</sub>O
gcmin:scolecite	gcmin:rruffnameplain	Scolecite
gcmin:scolecite	gcmin:localitycount	481
gcmin:scolecite	skos:prefLabel	Scolecite
gcmin:scolecite	rdf:type	skos:Concept
gcmin:scolecite	gcmin:mindaturl	http://www.mindat.org/min-3594.html
gcmin:scolecite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/scolecite.pdf
gcmin:scolecite	gcmin:imastatus	Approved
gcmin:scolecite	skos:exactMatch	<http://www.wikidata.org/entity/Q422100>
gcmin:scolecite	gcmin:statusnotes	"Originally named skolezit: Gehlen A F, Fuchs J N (1813) Ueber Werner's zeolith, Hauy's mesotype und stilbite, Journal f?r Chemie und Physik 8, 353-366"
gcmin:scolecite	gcmin:rruffchemistry	Ca(Si<sub>3</sub>Al<sub>2</sub>)O<sub>10</sub>?3H<sub>2</sub>O
gcmin:scolecite	skos:exactMatch	gsqmin:scolecite
gcmin:scolecite	gcmin:fleischersgroup	zeolite
gcmin:scolecite	gcmin:crystalsystem	monoclinic
gcmin:scolecite	skos:exactMatch	<https://www.mindat.org/1:1:3594:7>
gcmin:scolecite	gcmin:rruffids	R040111 | R050083
gcmin:scolecite	rdfs:label	Scolecite
gcmin:scolecite	gcmin:strunzlabel	Zeolite with T5O10áUnits û Fibrous Zeolite
gcmin:scolecite	skos:inScheme	gcmin:conceptScheme
gcmin:scolecite	gcmin:wikipediadate	1813
gcmin:scolecite	gcmin:chemistryelements	Ca | Si | Al | O | H
gcmin:scolecite	gcmin:webmineralurl	http://www.webmineral.com/data/Scolecite.shtml
gcmin:scolecite	gcmin:strunzcodeV10	09.GA.05
gcmin:scolecite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29157>
gcmin:scolecite	gcmin:rruffnamehtml	Scolecite
gcmin:scorodite	gcmin:webmineralurl	http://webmineral.com/data/Scorodite.shtml
gcmin:scorodite	rdf:type	skos:Concept
gcmin:scorodite	skos:exactMatch	<https://www.mindat.org/1:1:3595:4>
gcmin:scorodite	gcmin:imastatus	Grandfathered|Approved
gcmin:scorodite	gcmin:fleischersgroup	scorodite
gcmin:scorodite	skos:exactMatch	gsqmin:scorodite
gcmin:scorodite	gcmin:wikipediadate	1818
gcmin:scorodite	gcmin:rruffchemistry	Fe<sup>3+</sup>As<sup>5+</sup>O<sub>4</sub>?2H<sub>2</sub>O
gcmin:scorodite	gcmin:rruffnamehtml	Scorodite
gcmin:scorodite	skos:prefLabel	Scorodite
gcmin:scorodite	gcmin:strunzlabel	"Phosphate, etc. without additional anions, with H2O, With only medium-sized cations, RO4:H2O = 1:2"
gcmin:scorodite	gcmin:rruffnameplain	Scorodite
gcmin:scorodite	gcmin:statusnotes	"Breithaupt A (1818) Gattung M. Skorodit., in Handbuch der Mineralogie von C. A. S. Hoffmann, Volume 4, Craz und Gerlach (Freiberg) 182-185"
gcmin:scorodite	skos:exactMatch	<http://www.wikidata.org/entity/Q425546>
gcmin:scorodite	gcmin:rruffids	R050465
gcmin:scorodite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/scorodite.pdf
gcmin:scorodite	gcmin:mindaturl	http://www.mindat.org/min-3595.html
gcmin:scorodite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29341>
gcmin:scorodite	skos:inScheme	gcmin:conceptScheme
gcmin:scorodite	gcmin:strunzcodeV10	08.CD.10
gcmin:scorodite	gcmin:crystalsystem	orthorhombic
gcmin:scorodite	gcmin:mindatid	min-3595
gcmin:scorodite	gcmin:localitycount	1435
gcmin:scorodite	gcmin:imachemistry	Fe<sup>3+</sup>(AsO<sub>4</sub>)?2H<sub>2</sub>O
gcmin:scorodite	gcmin:iupacchemname	IUPAC: IronIII arsenate dihydrate
gcmin:scorodite	gcmin:chemistryelements	Fe | As | O | H
gcmin:scorodite	rdfs:label	Scorodite
gcmin:siderite	gcmin:imastatus	Approved
gcmin:siderite	gcmin:structuralgroup	Calcite
gcmin:siderite	gcmin:rruffids	R040034 | R050262 | R050349
gcmin:siderite	gcmin:crystalsystem	hexagonal
gcmin:siderite	gcmin:fleischersgroup	calcite
gcmin:siderite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29161>
gcmin:siderite	skos:exactMatch	<https://www.mindat.org/1:1:3647:0>
gcmin:siderite	gcmin:wikipediadate	1845
gcmin:siderite	gcmin:rruffchemistry	Fe<sup>2+</sup>CO<sub>3</sub>
gcmin:siderite	skos:inScheme	gcmin:conceptScheme
gcmin:siderite	gcmin:mindaturl	http://www.mindat.org/min-3647.html
gcmin:siderite	gcmin:iupacchemname	IUPAC: IronII carbonate
gcmin:siderite	rdf:type	skos:Concept
gcmin:siderite	gcmin:imachemistry	Fe(CO<sub>3</sub>)
gcmin:siderite	gcmin:rruffnamehtml	Siderite
gcmin:siderite	rdfs:label	Siderite
gcmin:siderite	skos:exactMatch	gsqmin:siderite
gcmin:siderite	skos:prefLabel	Siderite
gcmin:siderite	gcmin:chemistryelements	Fe | C | O
gcmin:siderite	gcmin:rruffnameplain	Siderite
gcmin:siderite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/siderite.pdf
gcmin:siderite	skos:exactMatch	<http://www.wikidata.org/entity/Q192669>
gcmin:siderite	gcmin:webmineralurl	http://www.webmineral.com/data/Siderite.shtml
gcmin:siderite	gcmin:strunzlabel	"Carbonate without additional anions, without H2O, Alkali-earth (and other M2+) carbonates"
gcmin:siderite	gcmin:statusnotes	"Haidinger W (1845) Zweite Klasse: Geogenide. II. Ordnung. Baryte I. Parachrosbaryt. Siderit., in Handbuch der Bestimmenden Mineralogie, Bei Braum?ller and Seidel (Wien) 499-506"
gcmin:siderite	gcmin:strunzcodeV10	05.AB.05
gcmin:siderite	gcmin:mindatid	min-3647
gcmin:siderite	gcmin:localitycount	7790
gcmin:sillimanite	gcmin:chemistryelements	Al | O | Si
gcmin:sillimanite	skos:exactMatch	gsqmin:sillimanite
gcmin:sillimanite	rdf:type	skos:Concept
gcmin:sillimanite	gcmin:rruffnamehtml	Sillimanite
gcmin:sillimanite	gcmin:mindatid	min-3662
gcmin:sillimanite	gcmin:strunzlabel	"Nesosilicate with additional anions; cations in [4], [5] and/or only [6] coordination"
gcmin:sillimanite	skos:prefLabel	Sillimanite
gcmin:sillimanite	gcmin:rruffids	R050601 | R060080 | R060787 | R100126 | R100127
gcmin:sillimanite	gcmin:crystalsystem	orthorhombic
gcmin:sillimanite	gcmin:strunzcodeV10	09.AF.05
gcmin:sillimanite	skos:exactMatch	<http://www.wikidata.org/entity/Q119632>
gcmin:sillimanite	gcmin:localitycount	1833
gcmin:sillimanite	gcmin:statusnotes	"Bowen G T (1824) Description and analysis of sillimanite, a new mineral, American Journal of Science and Arts 8, 113-118"
gcmin:sillimanite	gcmin:mindaturl	http://www.mindat.org/min-3662.html
gcmin:sillimanite	skos:broader	strunz:s09_AF
gcmin:sillimanite	gcmin:imachemistry	Al<sub>2</sub>SiO<sub>5</sub>
gcmin:sillimanite	gcmin:wikipediadate	1824
gcmin:sillimanite	gcmin:iupacchemname	IUPAC: Dialuminium oxy nesosilicate
gcmin:sillimanite	gcmin:rruffchemistry	Al<sub>2</sub>OSiO<sub>4</sub>
